player_id,year_id,school_name,conf_abbr,class,pos,g,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,adj_pass_yds_per_att,pass_td,pass_int,pass_rating
0,*2015,Georgia,SEC,FR,S,8.0,11.0,14.0,25.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
0,*2017,Mississippi State,SEC,JR,DB,12.0,43.0,28.0,71.0,5.0,2.0,0.0,0.0,,0.0,5.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
0,*2018,Mississippi State,SEC,SR,S,13.0,53.0,46.0,99.0,9.0,3.0,2.0,9.0,4.5,0.0,5.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
3,2015,Florida Atlantic,CUSA,FR,LB,12.0,50.0,44.0,94.0,7.0,1.5,0.0,0.0,,0.0,2.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
3,2016,Florida Atlantic,CUSA,SO,LB,12.0,56.0,56.0,112.0,11.0,2.0,1.0,30.0,30.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
3,*2017,Florida Atlantic,CUSA,JR,LB,13.0,71.0,75.0,146.0,10.0,2.5,0.0,0.0,,0.0,4.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
3,2018,Florida Atlantic,CUSA,SR,LB,6.0,24.0,19.0,43.0,3.0,1.5,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
4,*2014,Texas A&M,SEC,FR,LB,8.0,15.0,11.0,26.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
4,*2015,Texas A&M,SEC,SO,LB,3.0,2.0,10.0,12.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
4,*2016,Texas A&M,SEC,SO,LB,12.0,24.0,41.0,65.0,7.0,1.0,0.0,0.0,,0.0,1.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
